municipalidad,anio_semestre,tipo_compra,monto_neto_clp,n_items,n_ordenes
Conchalí,2019-2,convenio_marco,472395578,865,362
Conchalí,2019-2,licitacion,340059142,129,64
Conchalí,2019-2,trato_directo,62644917,586,170
Conchalí,2020-1,compra_agil,5547010,42,22
Conchalí,2020-1,convenio_marco,240877115,407,125
Conchalí,2020-1,licitacion,230619248,99,56
Conchalí,2020-1,trato_directo,120809809,412,160
Conchalí,2020-2,compra_agil,78452981,858,179
Conchalí,2020-2,convenio_marco,1080338563,311,110
Conchalí,2020-2,licitacion,595027516,151,34
Conchalí,2020-2,trato_directo,373647613,136,72
Conchalí,2021-1,compra_agil,64884194,727,164
Conchalí,2021-1,convenio_marco,161419853,152,53
Conchalí,2021-1,licitacion,132157417,55,35
Conchalí,2021-1,trato_directo,24566611,12,11
Conchalí,2021-2,compra_agil,99199387,896,244
Conchalí,2021-2,convenio_marco,715869094,89,30
Conchalí,2021-2,licitacion,560498618,93,51
Conchalí,2021-2,trato_directo,74142145,3,3
Conchalí,2022-1,compra_agil,91176572,601,207
Conchalí,2022-1,convenio_marco,192157551,59,25
Conchalí,2022-1,licitacion,946775989,75,55
Conchalí,2022-1,trato_directo,436735856,9,9
Conchalí,2022-2,convenio_marco,139752329,24,12
Conchalí,2022-2,licitacion,212512879,94,48
Conchalí,2022-2,trato_directo,525892692,18,18
Conchalí,2023-1,compra_agil,110823747,1029,213
Conchalí,2023-1,convenio_marco,187773759,60,15
Conchalí,2023-1,licitacion,8051146449,97,78
Conchalí,2023-1,trato_directo,636526696,18,17
Conchalí,2023-2,compra_agil,241715932,1962,303
Conchalí,2023-2,convenio_marco,267128122,111,29
Conchalí,2023-2,licitacion,1357666768,189,105
Conchalí,2023-2,trato_directo,41322987,8,8
Conchalí,2024-1,compra_agil,128322964,726,239
Conchalí,2024-1,convenio_marco,149042195,55,18
Conchalí,2024-1,licitacion,12271111357,231,101
Conchalí,2024-1,trato_directo,2740241997,28,22
Conchalí,2024-2,compra_agil,167998629,1244,262
Conchalí,2024-2,convenio_marco,285620658,78,21
Conchalí,2024-2,licitacion,3169550258,218,95
Conchalí,2024-2,trato_directo,102814769,14,13
Conchalí,2025-1,compra_agil,505126476,1458,260
Conchalí,2025-1,convenio_marco,101750891,14,9
Conchalí,2025-1,licitacion,16185153336,61,46
Conchalí,2025-1,trato_directo,16430137,4,4
Conchalí,2025-2,compra_agil,613973796,4245,282
Conchalí,2025-2,convenio_marco,152706483,10,4
Conchalí,2025-2,licitacion,816097050,79,32
El Bosque,2015-1,convenio_marco,311725303,866,342
El Bosque,2015-1,licitacion,3976206606,3976,1283
El Bosque,2015-1,trato_directo,286700485,259,202
El Bosque,2015-2,convenio_marco,609126893,1525,536
El Bosque,2015-2,licitacion,5537018608,4744,1415
El Bosque,2015-2,trato_directo,458990956,1584,365
El Bosque,2016-1,convenio_marco,530668292,1307,503
El Bosque,2016-1,licitacion,4520604682,3264,1008
El Bosque,2016-1,trato_directo,621113858,420,401
El Bosque,2016-2,convenio_marco,1049912209,3241,1041
El Bosque,2016-2,licitacion,4501540231,3571,1142
El Bosque,2016-2,trato_directo,551634380,340,325
El Bosque,2017-1,convenio_marco,1207411578,2920,1005
El Bosque,2017-1,licitacion,4352718255,2180,997
El Bosque,2017-1,trato_directo,470979738,420,379
El Bosque,2017-2,convenio_marco,1892747259,5075,1619
El Bosque,2017-2,licitacion,4258769314,1042,829
El Bosque,2017-2,trato_directo,1559935496,541,477
El Bosque,2018-1,convenio_marco,1227173853,3759,1202
El Bosque,2018-1,licitacion,4717345552,1617,913
El Bosque,2018-1,trato_directo,637561602,557,537
El Bosque,2018-2,convenio_marco,2298591341,5120,1960
El Bosque,2018-2,licitacion,4693114172,1571,926
El Bosque,2018-2,trato_directo,1630432277,1169,717
El Bosque,2019-1,convenio_marco,1567578461,2928,1050
El Bosque,2019-1,licitacion,4259932032,858,673
El Bosque,2019-1,trato_directo,1758560060,1289,786
El Bosque,2019-2,convenio_marco,1962065093,4604,1700
El Bosque,2019-2,licitacion,5790765259,963,824
El Bosque,2019-2,trato_directo,1028598014,1153,380
El Bosque,2020-1,compra_agil,1091550,7,4
El Bosque,2020-1,convenio_marco,1045239689,1181,521
El Bosque,2020-1,licitacion,3811479677,669,618
El Bosque,2020-1,trato_directo,2389527144,809,478
El Bosque,2020-2,compra_agil,94176420,488,161
El Bosque,2020-2,convenio_marco,1408008531,1336,603
El Bosque,2020-2,licitacion,5975661235,724,638
El Bosque,2020-2,trato_directo,1539573578,368,295
El Bosque,2021-1,compra_agil,219523648,914,350
El Bosque,2021-1,convenio_marco,863516365,619,293
El Bosque,2021-1,licitacion,3907683112,610,547
El Bosque,2021-1,trato_directo,1718625485,177,166
El Bosque,2021-2,compra_agil,583110705,3256,711
El Bosque,2021-2,convenio_marco,1212536102,831,307
El Bosque,2021-2,licitacion,5441254879,733,640
El Bosque,2021-2,trato_directo,1130748267,159,151
El Bosque,2022-1,compra_agil,628911500,3973,653
El Bosque,2022-1,convenio_marco,421136964,230,110
El Bosque,2022-1,licitacion,4876043299,770,624
El Bosque,2022-1,trato_directo,1157674066,123,119
El Bosque,2022-2,convenio_marco,498610479,211,99
El Bosque,2022-2,licitacion,8435885703,717,594
El Bosque,2022-2,trato_directo,1865578542,142,123
El Bosque,2023-1,compra_agil,763099418,5980,798
El Bosque,2023-1,convenio_marco,565140202,161,80
El Bosque,2023-1,licitacion,7926649769,665,487
El Bosque,2023-1,trato_directo,2761281018,129,113
El Bosque,2023-2,compra_agil,1119778233,6632,1259
El Bosque,2023-2,convenio_marco,636763134,482,124
El Bosque,2023-2,licitacion,6964293916,680,556
El Bosque,2023-2,trato_directo,3386987518,211,162
El Bosque,2024-1,compra_agil,702230147,3668,789
El Bosque,2024-1,convenio_marco,473940306,302,85
El Bosque,2024-1,licitacion,24313522978,693,507
El Bosque,2024-1,trato_directo,1148454725,224,116
El Bosque,2024-2,compra_agil,984924141,5888,1087
El Bosque,2024-2,convenio_marco,443233719,320,100
El Bosque,2024-2,licitacion,15423627701,715,489
El Bosque,2024-2,trato_directo,1328903429,113,103
El Bosque,2025-1,compra_agil,1321897139,9579,474
El Bosque,2025-1,convenio_marco,471488030,237,86
El Bosque,2025-1,licitacion,7536596930,525,306
El Bosque,2025-1,trato_directo,198458868,58,35
El Bosque,2025-2,compra_agil,1853260943,10458,617
El Bosque,2025-2,convenio_marco,263709094,246,74
El Bosque,2025-2,licitacion,7621749348,548,274
El Bosque,2025-2,trato_directo,73237548,22,15
Estación Central,2015-1,convenio_marco,333472000,1367,377
Estación Central,2015-1,licitacion,114727298,548,126
Estación Central,2015-1,trato_directo,136067519,58,56
Estación Central,2015-2,convenio_marco,554456399,2868,580
Estación Central,2015-2,licitacion,2437054654,452,138
Estación Central,2015-2,trato_directo,199857683,125,107
Estación Central,2016-1,convenio_marco,474369417,1883,486
Estación Central,2016-1,licitacion,401986068,666,104
Estación Central,2016-1,trato_directo,238962934,101,99
Estación Central,2016-2,convenio_marco,715621428,3787,965
Estación Central,2016-2,licitacion,551035459,124,76
Estación Central,2016-2,trato_directo,364181156,149,148
Estación Central,2017-1,convenio_marco,290744956,1234,365
Estación Central,2017-1,licitacion,137765133,72,36
Estación Central,2017-1,trato_directo,1874350632,138,132
Estación Central,2017-2,convenio_marco,677437006,3386,882
Estación Central,2017-2,licitacion,42407730,113,46
Estación Central,2017-2,trato_directo,382704542,146,140
Estación Central,2018-1,convenio_marco,519032906,2757,715
Estación Central,2018-1,licitacion,235801916,68,55
Estación Central,2018-1,trato_directo,407882052,124,123
Estación Central,2018-2,convenio_marco,763499194,3082,988
Estación Central,2018-2,licitacion,79922811,56,45
Estación Central,2018-2,trato_directo,596281905,181,151
Estación Central,2019-1,convenio_marco,480601612,1718,449
Estación Central,2019-1,licitacion,589014144,31,25
Estación Central,2019-1,trato_directo,556200275,233,110
Estación Central,2019-2,convenio_marco,561502300,4108,967
Estación Central,2019-2,licitacion,526066034,28,27
Estación Central,2019-2,trato_directo,373611377,199,137
Estación Central,2020-1,compra_agil,395000,2,2
Estación Central,2020-1,convenio_marco,423762107,818,231
Estación Central,2020-1,licitacion,1395984549,39,34
