municipalidad,anio_semestre,tipo_compra,RubroN1,monto_neto_clp,n_items,n_ordenes
Cerrillos,2015-2,convenio_marco,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",61006488,37,28
Cerrillos,2015-2,convenio_marco,"Servicios de transporte, almacenaje y correo",9640600,9,9
Cerrillos,2015-2,convenio_marco,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",5241750,9,9
Cerrillos,2015-2,convenio_marco,"Servicios profesionales, administrativos y consultorías de gestión empresarial",10528093,9,8
Cerrillos,2015-2,convenio_marco,"Tecnologías de la información, telecomunicaciones y radiodifusión",8344198,44,39
Cerrillos,2015-2,convenio_marco,Vehículos y equipamiento en general,133469298,2,1
Cerrillos,2015-2,convenio_marco,,37955666,166,104
Cerrillos,2015-2,licitacion,"Alimentos, bebidas y tabaco",347351,2,2
Cerrillos,2015-2,licitacion,Artículos de electrónica,10433,2,2
Cerrillos,2015-2,licitacion,Artículos de fabricación y producción,637661,23,13
Cerrillos,2015-2,licitacion,Artículos eléctricos y de iluminación,1408320,3,2
Cerrillos,2015-2,licitacion,"Artículos para estructuras, obras y construcciones",13737953,34,27
Cerrillos,2015-2,licitacion,Artículos para plantas y animales,5042320,18,7
Cerrillos,2015-2,licitacion,"Educación, formación, entrenamiento y capacitación",3643980,13,6
Cerrillos,2015-2,licitacion,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",6365284,10,10
Cerrillos,2015-2,licitacion,Equipamiento para laboratorios,682813,4,4
Cerrillos,2015-2,licitacion,Equipamiento para manejo y estiba de materiales,6312236,17,9
Cerrillos,2015-2,licitacion,Equipamiento y suministros médicos,6580705,40,32
Cerrillos,2015-2,licitacion,"Equipos y suministros de defensa, orden público, protección y seguridad",920959,14,7
Cerrillos,2015-2,licitacion,"Equipos y suministros de imprenta, fotográficos y audiovisuales",7167395,15,13
Cerrillos,2015-2,licitacion,Equipos y suministros de limpieza,1503420,4,4
Cerrillos,2015-2,licitacion,"Equipos, accesorios y suministros de oficina",8085747,61,26
Cerrillos,2015-2,licitacion,"Equipos, suministros y accesorios deportivos y recreativos",27879168,56,22
Cerrillos,2015-2,licitacion,Herramientas y maquinaria en general,560989,17,7
Cerrillos,2015-2,licitacion,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",21821643,114,48
Cerrillos,2015-2,licitacion,"Maquinaria para agricultura, pesca y silvicultura",800000,1,1
Cerrillos,2015-2,licitacion,Maquinaria para fabricación y transformación industrial,855330,2,2
Cerrillos,2015-2,licitacion,Maquinaria para generación y distribución de energía,353204,10,8
Cerrillos,2015-2,licitacion,Maquinaria para minería y perforación,1097187,8,4
Cerrillos,2015-2,licitacion,"Maquinarias, equipos y suministros para la industria de servicios",279466,13,3
Cerrillos,2015-2,licitacion,Medicamentos y productos farmacéuticos,1742880,6,4
Cerrillos,2015-2,licitacion,Muebles y mobiliario,11492088,24,18
Cerrillos,2015-2,licitacion,"Muebles, accesorios, electrodomésticos y productos electrónicos",6306720,41,19
Cerrillos,2015-2,licitacion,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",43546218,5,5
Cerrillos,2015-2,licitacion,Productos de papel,9239475,38,21
Cerrillos,2015-2,licitacion,"Productos derivados de minerales, plantas y animales",16366903,79,57
Cerrillos,2015-2,licitacion,Productos impresos y publicaciones,2379180,7,6
Cerrillos,2015-2,licitacion,Productos químicos industriales,1381188,15,9
Cerrillos,2015-2,licitacion,"Resinas, cauchos, espumas y elastómeros",1236340,3,3
Cerrillos,2015-2,licitacion,"Ropa, maletas y productos de aseo personal",3210822,24,9
Cerrillos,2015-2,licitacion,Servicios básicos y de información pública,479000,3,3
