municipalidad,anio_semestre,tipo_compra,TamanoProveedor,monto_neto_clp,n_items,n_ordenes,n_proveedores
Cerrillos,2020-2,convenio_marco,Mediana,847861395,148,31,18
Cerrillos,2020-2,convenio_marco,Micro,120715820,186,113,39
Cerrillos,2020-2,convenio_marco,Pequeña,43496133,51,27,18
Cerrillos,2020-2,licitacion,Grande,67159482,36,27,18
Cerrillos,2020-2,licitacion,Mediana,893551803,26,21,13
Cerrillos,2020-2,licitacion,Micro,1419556467,117,69,42
Cerrillos,2020-2,licitacion,NoClasificado,186493266,34,29,12
Cerrillos,2020-2,licitacion,Pequeña,1044353528,95,57,42
Cerrillos,2020-2,trato_directo,Grande,143438868,13,11,6
Cerrillos,2020-2,trato_directo,Mediana,3704229,1,1,1
Cerrillos,2020-2,trato_directo,Micro,204588495,17,15,11
Cerrillos,2020-2,trato_directo,Pequeña,822254220,13,11,9
Cerrillos,2021-1,compra_agil,Grande,9995290,107,29,11
Cerrillos,2021-1,compra_agil,Mediana,8874916,114,10,9
Cerrillos,2021-1,compra_agil,Micro,25178332,208,56,39
Cerrillos,2021-1,compra_agil,NoClasificado,358800,1,1,1
Cerrillos,2021-1,compra_agil,Pequeña,7576029,34,20,17
Cerrillos,2021-1,convenio_marco,Grande,170474517,34,10,6
Cerrillos,2021-1,convenio_marco,Mediana,5175000,2,1,1
Cerrillos,2021-1,convenio_marco,Micro,490750468,95,18,10
Cerrillos,2021-1,convenio_marco,NoClasificado,5062600,2,2,1
Cerrillos,2021-1,convenio_marco,Pequeña,64602639,10,7,5
Cerrillos,2021-1,licitacion,Grande,212555362,66,31,23
Cerrillos,2021-1,licitacion,Mediana,154429438,27,12,9
Cerrillos,2021-1,licitacion,Micro,451986908,93,52,36
Cerrillos,2021-1,licitacion,Pequeña,264520726,80,31,24
Cerrillos,2021-1,trato_directo,Grande,23692260,21,17,9
Cerrillos,2021-1,trato_directo,Mediana,1834500,2,2,2
Cerrillos,2021-1,trato_directo,Micro,9788250,15,12,11
Cerrillos,2021-1,trato_directo,Pequeña,79346760,6,6,5
Cerrillos,2021-2,compra_agil,Grande,15017066,103,29,9
Cerrillos,2021-2,compra_agil,Mediana,20471567,185,45,17
Cerrillos,2021-2,compra_agil,Micro,59179028,289,121,83
Cerrillos,2021-2,compra_agil,NoClasificado,20533973,76,31,25
Cerrillos,2021-2,compra_agil,Pequeña,15458369,145,27,20
Cerrillos,2021-2,convenio_marco,Grande,76992140,13,9,6
Cerrillos,2021-2,convenio_marco,Mediana,34777342,19,6,5
Cerrillos,2021-2,convenio_marco,Micro,110999777,67,25,20
Cerrillos,2021-2,convenio_marco,Pequeña,81780085,44,9,9
Cerrillos,2021-2,licitacion,Grande,23082970,59,17,14
Cerrillos,2021-2,licitacion,Mediana,27780688,45,10,10
Cerrillos,2021-2,licitacion,Micro,158005625,105,50,32
Cerrillos,2021-2,licitacion,NoClasificado,43158763,13,10,7
Cerrillos,2021-2,licitacion,Pequeña,127142666,32,24,21
Cerrillos,2021-2,trato_directo,Grande,6444805,10,8,5
Cerrillos,2021-2,trato_directo,Mediana,2342329,10,5,5
Cerrillos,2021-2,trato_directo,Micro,79934850,25,16,13
Cerrillos,2021-2,trato_directo,Pequeña,4891452,17,12,7
Cerrillos,2022-1,compra_agil,Grande,14102456,113,24,7
Cerrillos,2022-1,compra_agil,Mediana,3433447,10,8,7
